Campus,Residency,2015,2016,2017
Universitywide,African American,6268,6589,6905
Universitywide,American Indian,695,655,662
Universitywide,Asian American,31501,30969,32480
Universitywide,Chicano/Latino,35120,37729,41575
Universitywide,Pacific Islander,370,359,393
Universitywide,White,25699,25983,26449
Universitywide,Missing,3341,3042,3147
Universitywide,Total,102994,105326,111611
Berkeley,African American,2653,2783,2983
Berkeley,American Indian,289,277,273
Berkeley,Asian American,17132,16493,17815
Berkeley,Chicano/Latino,12067,12695,13951
Berkeley,Pacific Islander,143,157,166
Berkeley,White,11591,11658,12401
Berkeley,Missing,1731,1657,1662
Berkeley,Total,45606,45720,49251
Davis,African American,2432,2714,2789
Davis,American Indian,280,274,280
Davis,Asian American,18347,17933,18700
Davis,Chicano/Latino,13140,14310,15388
Davis,Pacific Islander,171,163,191
Davis,White,12237,12295,12422
Davis,Missing,1694,1608,1603
Davis,Total,48301,49297,51373
Irvine,African American,2769,2996,3220
Irvine,American Indian,242,239,264
Irvine,Asian American,22357,22264,23802
Irvine,Chicano/Latino,18474,20515,23463
Irvine,Pacific Islander,162,143,176
Irvine,White,9334,9736,10394
Irvine,Missing,1701,1680,1772
Irvine,Total,55039,57573,63091
Los Angeles,African American,3551,3698,3940
Los Angeles,American Indian,325,313,330
Los Angeles,Asian American,20546,20202,21679
Los Angeles,Chicano/Latino,17490,18858,20823
Los Angeles,Pacific Islander,177,176,200
Los Angeles,White,13668,13671,14494
Los Angeles,Missing,2049,1967,2012
Los Angeles,Total,57806,58885,63478
Merced,African American,1128,1220,1384
Merced,American Indian,66,61,71
Merced,Asian American,4763,4935,4988
Merced,Chicano/Latino,7882,9321,10758
Merced,Pacific Islander,57,57,63
Merced,White,1880,2012,2119
Merced,Missing,423,424,477
Merced,Total,16199,18030,19860
Riverside,African American,2376,2606,2664
Riverside,American Indian,129,96,153
Riverside,Asian American,11862,12090,12313
Riverside,Chicano/Latino,14350,16155,18092
Riverside,Pacific Islander,103,85,92
Riverside,White,4153,4569,4341
Riverside,Missing,931,897,973
Riverside,Total,33904,36498,38628
San Diego,African American,2716,2898,3238
San Diego,American Indian,320,284,290
San Diego,Asian American,21207,21008,22254
San Diego,Chicano/Latino,14471,15893,17572
San Diego,Pacific Islander,153,162,199
San Diego,White,12868,13140,13659
San Diego,Missing,1916,1850,1868
San Diego,Total,53651,55235,59080
Santa Barbara,African American,2850,2976,3073
Santa Barbara,American Indian,372,334,352
Santa Barbara,Asian American,16213,17008,17983
Santa Barbara,Chicano/Latino,16486,17899,19233
Santa Barbara,Pacific Islander,172,176,175
Santa Barbara,White,14249,14944,15814
Santa Barbara,Missing,1770,1774,1832
Santa Barbara,Total,52112,55111,58462
Santa Cruz,African American,1917,2125,2264
Santa Cruz,American Indian,268,248,254
Santa Cruz,Asian American,11201,11703,12383
Santa Cruz,Chicano/Latino,13354,14482,16122
Santa Cruz,Pacific Islander,146,137,136
Santa Cruz,White,9873,10237,10315
Santa Cruz,Missing,1234,1198,1212
Santa Cruz,Total,37993,40130,42686
